ID_EVENTO,Temp_Max_Avg_Veg,Temp_Min_Avg_Veg,Temp_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Temp_Max_34_Freq_Veg,Rain_Accu_Veg,Rain_10_Freq_Veg,Temp_Min_15_Freq_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Min_Avg_For,Temp_Avg_For,Diurnal_Range_Avg_For,Sol_Ener_Accu_For,Temp_Max_34_Freq_For,Rain_Accu_For,Rain_10_Freq_For,Temp_Min_15_Freq_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Min_Avg_Mad,Temp_Avg_Mad,Diurnal_Range_Avg_Mad,Sol_Ener_Accu_Mad,Temp_Max_34_Freq_Mad,Rain_Accu_Mad,Rain_10_Freq_Mad,Temp_Min_15_Freq_Mad,Rhum_Avg_Mad
836,31.87891236,24.52,28.19945618,7.358912364,14549.47379,0.075,196.7,0.15,0,80.7,33.51596795,24.45,28.98298398,9.065967952,22519.29722,0.379310345,313.7,0.120689655,0,78.29310345,32.43055556,23.70555556,28.06805556,8.725,13476.02415,0.166666667,219.5,0.194444444,0,80.69444444
838,33.05921524,24.52653431,28.79287477,8.532680931,14969.19851,0.283255821,168.931417,0.120846596,0,80.86013809,33.61943506,24.42754647,29.02349077,9.191888591,22452.27901,0.388754771,252.1783857,0.132881861,0,80.18067744,33.29618883,24.1672679,28.73172836,9.128920927,13929.16287,0.351554779,109.7146277,0.105303405,0,80.26975215
840,32.12626281,24.72,28.4231314,7.406262806,14665.91939,0.075,225.7,0.2,0,80.7,33.42465153,24.1362069,28.78042921,9.28844463,22555.54868,0.379310345,343.3,0.120689655,0,78.48275862,32.6675,23.81,28.23875,8.8575,15064.77869,0.225,224.6,0.175,0,81.35
841,32.03195436,24.2775,28.15472718,7.754454362,14523.06638,0.1,248.6,0.125,0,81.425,32.73331093,23.8862069,28.30975891,8.847104032,24354.5397,0.206896552,227.2,0.120689655,0,80.39655172,32.24732243,23.56666667,27.90699455,8.68065576,14825.27988,0.023809524,295,0.261904762,0,82.14285714
1770,32.6675,23.755,28.21125,8.9125,15136.26506,0.225,224.6,0.175,0,81.25,32.5,24.07586207,28.28793103,8.424137931,20449.96967,0.137931034,264.2,0.120689655,0,82.36206897,33.79583333,23.5707861,28.68330972,10.22504723,19215.00567,0.541666667,67.4,0.041666667,0,77.63034623
1771,32.6675,23.81,28.23875,8.8575,15064.77869,0.225,224.6,0.175,0,81.35,32.51724138,24.09655172,28.30689655,8.420689655,20417.44607,0.137931034,264.2,0.120689655,0,82.34482759,33.82142857,23.51245952,28.66694404,10.30896905,22353.75237,0.517857143,67.9,0.035714286,0,77.37958249
1772,32.215,23.9825,28.09875,8.2325,13824.91979,0.075,269.6,0.175,0,83.35,33.40689655,23.85440748,28.63065202,9.552489071,22862.63314,0.379310345,96.6,0.051724138,0,79.29752792,34.41290323,23.6336161,29.02325966,10.77928712,12553.90036,0.64516129,7.9,0,0,75.64516129
1773,32.25,23.9775,28.11375,8.2725,13913.09904,0.1,276.8,0.175,0,83.35,32.92413793,24.06845545,28.49629669,8.85568248,21550.7022,0.189655172,133.8,0.068965517,0,81.18965517,34.42777778,23.28409213,28.85593496,11.14368564,14919.67382,0.75,0.5,0,0,74.86823942
1778,32.475,23.5925,28.03375,8.8825,15242.42198,0.15,258.4,0.2,0,80.675,32.29310345,23.97241379,28.13275862,8.320689655,20343.16297,0.086206897,332,0.155172414,0,82.93103448,33.08947368,24.10711622,28.59829495,8.982357469,14314.23806,0.210526316,78.6,0.052631579,0,81.02631579
1799,32.6925,23.73,28.21125,8.9625,15212.09724,0.225,229.3,0.175,0,81.125,32.45862069,24.04137931,28.25,8.417241379,20444.34693,0.137931034,264.2,0.120689655,0,82.39655172,33.52352941,23.72560048,28.62456494,9.797928936,13556.18083,0.411764706,67.4,0.058823529,0,78.91931233
1800,32.0625,23.865,27.96375,8.1975,13990.94472,0.1,359.3,0.25,0,83.3,32.74482759,24.09827586,28.42155172,8.646551724,20918.1964,0.155172414,137.6,0.068965517,0,81.75862069,34.08444444,23.39106073,28.73775259,10.69338371,18307.73903,0.6,8.5,0,0,76.33903598
2007,33.01995414,24.07481542,28.54738478,8.945138723,14698.215,0.275,236.5,0.2,0,81.77387969,34.11034483,23.71934699,28.91484591,10.39099784,24332.57724,0.5,268.7,0.137931034,0,83.79066551,32.46956522,24.03823003,28.25389763,8.431335184,17704.4867,0.02173913,291.2,0.217391304,0,86.41467282
2008,33.2225,24.3225,28.7725,8.9,14930.24955,0.35,181.3,0.125,0,80.625,34.39310345,24.57732052,29.48521198,9.81578293,22703.70013,0.551724138,272.6,0.155172414,0,79.29690653,33.31428571,24.41428571,28.86428571,8.9,10550.40972,0.321428571,83.2,0.142857143,0,82.03571429
